YearMonth,MonthlyRevenue
2009-12,686654.16
2010-01,557319.06
2010-02,506371.07
2010-03,699608.99
2010-04,594609.19
2010-05,599985.79
2010-06,639066.58
2010-07,591636.74
2010-08,604242.65
2010-09,831615.0
2010-10,1036680.0
2010-11,1172336.04
2010-12,884591.89
2011-01,569445.04
2011-02,447137.35
2011-03,595500.76
2011-04,469200.36
2011-05,678594.56
2011-06,661213.69
2011-07,600091.01
2011-08,645343.9
2011-09,952838.38
2011-10,1039318.79
2011-11,1161817.38
2011-12,518210.79
