Country,TotalRevenue
United Kingdom,14723147.52
EIRE,621631.11
Netherlands,554232.34
Germany,431262.46
France,355257.47
Australia,169968.11
Spain,109178.53
Switzerland,100365.34
Sweden,91549.72
Denmark,69862.19
Belgium,65753.42
Norway,60109.62
Portugal,57285.3
Japan,47138.39
Channel Islands,44996.76
Italy,32550.42
Finland,29925.54
Singapore,25317.06
Cyprus,24980.13
Austria,23613.01
Greece,19096.19
Poland,10902.45
Israel,10421.09
United Arab Emirates,9202.69
Unspecified,8613.65
USA,8366.86
Malta,8099.09
Lithuania,6553.74
Iceland,5633.32
Canada,4883.04
Thailand,3070.54
RSA,1933.74
Lebanon,1693.88
Brazil,1411.87
Bahrain,1354.37
European Community,1300.25
Korea,1118.51
Czech Republic,826.74
West Indies,536.41
Saudi Arabia,145.92
Nigeria,140.39
